State,District,Year,Quarter,Transaction_count,Transaction_amount
Andaman and Nicobar Islands,North and Middle andaman,2018,q1,442,931663.0771
Andaman and Nicobar Islands,South andaman,2018,q1,5688,12560249.34
Andaman and Nicobar Islands,Nicobar,2018,q1,528,1139848.801
Andaman and Nicobar Islands,North and Middle andaman,2018,q2,825,1317863.083
Andaman and Nicobar Islands,South andaman,2018,q2,9395,23948235.52
Andaman and Nicobar Islands,Nicobar,2018,q2,1120,3072436.908
Andaman and Nicobar Islands,North and Middle andaman,2018,q3,1283,4901529.518
Andaman and Nicobar Islands,South andaman,2018,q3,13511,44268112.46
Andaman and Nicobar Islands,Nicobar,2018,q3,1471,6387829.152
Andaman and Nicobar Islands,North and Middle andaman,2018,q4,2137,7955635.918
Andaman and Nicobar Islands,South andaman,2018,q4,20136,75411840.8
Andaman and Nicobar Islands,Nicobar,2018,q4,1485,7180859.355
Andaman and Nicobar Islands,North and Middle andaman,2019,q1,3264,9561708.736
Andaman and Nicobar Islands,South andaman,2019,q1,25683,85501972.39
Andaman and Nicobar Islands,Nicobar,2019,q1,1539,7236059.549
Andaman and Nicobar Islands,North and Middle andaman,2019,q2,3371,8612103.138
Andaman and Nicobar Islands,South andaman,2019,q2,28490,102530955.7
Andaman and Nicobar Islands,Nicobar,2019,q2,1828,9111650.824
Andaman and Nicobar Islands,North and Middle andaman,2019,q3,4049,11481466.28
Andaman and Nicobar Islands,South andaman,2019,q3,27421,91023888.33
Andaman and Nicobar Islands,Nicobar,2019,q3,2300,11566421.48
Andaman and Nicobar Islands,North and Middle andaman,2019,q4,4716,13524056.78
Andaman and Nicobar Islands,South andaman,2019,q4,27843,110930312.2
Andaman and Nicobar Islands,Nicobar,2019,q4,2600,12384161.53
Andaman and Nicobar Islands,North and Middle andaman,2020,q1,5674,14697371.62
Andaman and Nicobar Islands,South andaman,2020,q1,32713,134679396.9
Andaman and Nicobar Islands,Nicobar,2020,q1,2911,12099543.77
Andaman and Nicobar Islands,North and Middle andaman,2020,q2,10979,22447714.06
Andaman and Nicobar Islands,South andaman,2020,q2,48088,132855778.7
Andaman and Nicobar Islands,Nicobar,2020,q2,3895,14341508.6
Andaman and Nicobar Islands,North and Middle andaman,2020,q3,16747,33486883.37
Andaman and Nicobar Islands,South andaman,2020,q3,95323,282366109.2
Andaman and Nicobar Islands,Nicobar,2020,q3,5413,22166453.75
Andaman and Nicobar Islands,North and Middle andaman,2020,q4,29349,68941322.39
Andaman and Nicobar Islands,South andaman,2020,q4,186494,523122462.9
Andaman and Nicobar Islands,Nicobar,2020,q4,8688,35218871.04
Andaman and Nicobar Islands,North and Middle andaman,2021,q1,27358,75027255.28
Andaman and Nicobar Islands,South andaman,2021,q1,207092,669604045.1
Andaman and Nicobar Islands,Nicobar,2021,q1,10302,39075266.99
Andaman and Nicobar Islands,North and Middle andaman,2021,q2,39200,90233388.79
Andaman and Nicobar Islands,South andaman,2021,q2,286907,760893020.6
Andaman and Nicobar Islands,Nicobar,2021,q2,15307,48020606.75
Andaman and Nicobar Islands,North and Middle andaman,2021,q3,46592,118254865.8
